timestamp,temp_c,fan_pct,power_w,gpu_util_pct,memory_used_mib
2026/08/09 02:49:22.606, 32, [N/A], 24.44, 0, 0
2026/08/09 02:49:23.610, 32, [N/A], 24.44, 0, 0
2026/08/09 02:49:24.613, 32, [N/A], 24.44, 0, 4
2026/08/09 02:49:25.616, 32, [N/A], 24.43, 0, 4
2026/08/09 02:49:26.618, 32, [N/A], 24.44, 0, 4
2026/08/09 02:49:27.621, 31, [N/A], 24.43, 0, 4
2026/08/09 02:49:28.659, 32, [N/A], 24.44, 0, 4
2026/08/09 02:49:29.662, 32, [N/A], 24.44, 0, 4
2026/08/09 02:49:30.665, 32, [N/A], 24.44, 0, 4
2026/08/09 02:49:31.668, 31, [N/A], 24.43, 0, 4
2026/08/09 02:49:32.671, 31, [N/A], 24.43, 0, 4
2026/08/09 02:49:33.674, 32, [N/A], 24.43, 0, 4
2026/08/09 02:49:34.677, 31, [N/A], 24.45, 0, 4
2026/08/09 02:49:35.680, 32, [N/A], 24.43, 0, 4
2026/08/09 02:49:36.683, 31, [N/A], 24.43, 0, 4
2026/08/09 02:49:37.686, 31, [N/A], 24.44, 0, 4
2026/08/09 02:49:38.689, 31, [N/A], 24.44, 0, 4
2026/08/09 02:49:39.691, 32, [N/A], 36.39, 0, 360
2026/08/09 02:49:40.694, 32, [N/A], 36.39, 0, 9994
2026/08/09 02:49:41.697, 32, [N/A], 36.48, 0, 9994
2026/08/09 02:49:42.700, 32, [N/A], 36.49, 0, 9994
2026/08/09 02:49:43.703, 32, [N/A], 36.49, 0, 9994
2026/08/09 02:49:44.706, 32, [N/A], 36.49, 0, 9994
2026/08/09 02:49:45.708, 33, [N/A], 36.49, 0, 9994
2026/08/09 02:49:46.711, 33, [N/A], 36.49, 0, 9994
2026/08/09 02:49:47.714, 33, [N/A], 36.49, 0, 9994
2026/08/09 02:49:48.717, 33, [N/A], 36.48, 0, 9994
2026/08/09 02:49:49.720, 33, [N/A], 36.49, 0, 9994
2026/08/09 02:49:50.726, 33, [N/A], 36.49, 0, 9994
2026/08/09 02:49:51.728, 33, [N/A], 36.49, 0, 9994
2026/08/09 02:49:52.731, 33, [N/A], 36.49, 0, 9994
2026/08/09 02:49:53.734, 33, [N/A], 36.48, 0, 9994
2026/08/09 02:49:54.737, 33, [N/A], 36.49, 0, 9994
2026/08/09 02:49:55.740, 33, [N/A], 36.48, 0, 9994
2026/08/09 02:49:56.742, 33, [N/A], 36.58, 0, 9994
2026/08/09 02:49:57.745, 33, [N/A], 36.49, 0, 9994
2026/08/09 02:49:58.750, 33, [N/A], 36.48, 0, 9994
2026/08/09 02:49:59.753, 33, [N/A], 36.58, 0, 9994
2026/08/09 02:50:00.756, 33, [N/A], 36.48, 0, 9994
2026/08/09 02:50:01.759, 33, [N/A], 36.58, 0, 9994
2026/08/09 02:50:02.762, 33, [N/A], 36.68, 0, 9994
2026/08/09 02:50:03.764, 33, [N/A], 36.68, 0, 9994
2026/08/09 02:50:04.767, 33, [N/A], 36.58, 0, 9994
2026/08/09 02:50:05.770, 33, [N/A], 36.67, 0, 9994
2026/08/09 02:50:06.773, 33, [N/A], 36.67, 0, 9994
2026/08/09 02:50:07.776, 33, [N/A], 36.67, 0, 9994
2026/08/09 02:50:08.779, 33, [N/A], 36.68, 0, 9994
2026/08/09 02:50:09.782, 33, [N/A], 36.67, 0, 9994
2026/08/09 02:50:10.785, 33, [N/A], 36.77, 0, 9994
2026/08/09 02:50:11.787, 33, [N/A], 36.58, 0, 9994
2026/08/09 02:50:12.790, 33, [N/A], 36.67, 0, 9994
2026/08/09 02:50:13.793, 33, [N/A], 36.68, 0, 9994
2026/08/09 02:50:14.796, 33, [N/A], 36.77, 0, 9994
2026/08/09 02:50:15.799, 33, [N/A], 36.77, 0, 9994
2026/08/09 02:50:16.805, 33, [N/A], 36.67, 0, 9994
2026/08/09 02:50:17.808, 33, [N/A], 36.77, 0, 9994
2026/08/09 02:50:18.811, 33, [N/A], 36.68, 0, 9994
2026/08/09 02:50:19.814, 33, [N/A], 36.77, 0, 9994
2026/08/09 02:50:20.816, 33, [N/A], 36.68, 0, 9994
2026/08/09 02:50:21.819, 33, [N/A], 36.77, 0, 9994
2026/08/09 02:50:22.822, 33, [N/A], 36.77, 0, 9994
2026/08/09 02:50:23.825, 33, [N/A], 36.68, 0, 9994
2026/08/09 02:50:24.828, 33, [N/A], 36.77, 0, 9994
2026/08/09 02:50:25.832, 33, [N/A], 36.77, 0, 9994
2026/08/09 02:50:26.836, 33, [N/A], 36.77, 0, 9994
2026/08/09 02:50:27.838, 34, [N/A], 36.67, 0, 9994
2026/08/09 02:50:28.841, 34, [N/A], 36.77, 0, 9994
2026/08/09 02:50:29.844, 34, [N/A], 36.77, 0, 9994
2026/08/09 02:50:30.847, 34, [N/A], 36.77, 0, 9994
2026/08/09 02:50:31.850, 34, [N/A], 36.77, 0, 9994
2026/08/09 02:50:32.853, 34, [N/A], 36.77, 0, 9994
2026/08/09 02:50:33.855, 34, [N/A], 36.77, 0, 9994
2026/08/09 02:50:34.858, 34, [N/A], 36.77, 0, 9994
2026/08/09 02:50:35.861, 34, [N/A], 36.86, 0, 9994
2026/08/09 02:50:36.864, 34, [N/A], 36.77, 0, 9994
2026/08/09 02:50:37.867, 34, [N/A], 36.77, 0, 9994
2026/08/09 02:50:38.870, 34, [N/A], 36.77, 0, 9994
2026/08/09 02:50:39.873, 34, [N/A], 36.77, 0, 9994
2026/08/09 02:50:40.875, 34, [N/A], 36.77, 0, 9994
2026/08/09 02:50:41.878, 34, [N/A], 36.77, 0, 9994
2026/08/09 02:50:42.881, 34, [N/A], 36.77, 0, 9994
2026/08/09 02:50:43.884, 34, [N/A], 36.77, 0, 9994
2026/08/09 02:50:44.887, 34, [N/A], 36.77, 0, 9994
2026/08/09 02:50:45.889, 34, [N/A], 36.86, 0, 9994
2026/08/09 02:50:46.892, 34, [N/A], 36.77, 0, 9994
2026/08/09 02:50:47.895, 34, [N/A], 36.87, 0, 9994
2026/08/09 02:50:48.898, 34, [N/A], 36.87, 0, 9994
2026/08/09 02:50:49.901, 34, [N/A], 36.87, 0, 9994
2026/08/09 02:50:50.904, 34, [N/A], 36.77, 0, 9994
2026/08/09 02:50:51.906, 34, [N/A], 36.87, 0, 9994
2026/08/09 02:50:52.909, 34, [N/A], 36.87, 0, 9994
2026/08/09 02:50:53.912, 34, [N/A], 36.87, 0, 9994
2026/08/09 02:50:54.915, 34, [N/A], 36.86, 0, 9994
2026/08/09 02:50:55.918, 34, [N/A], 36.86, 0, 9994
2026/08/09 02:50:56.921, 34, [N/A], 36.87, 0, 9994
2026/08/09 02:50:57.923, 34, [N/A], 36.77, 0, 9994
2026/08/09 02:50:58.926, 34, [N/A], 36.86, 0, 9994
